,MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
2999,3388,Majokko Megu-chan,6.65,"Magic, Shoujo",Unknown,魔女っ子メグちゃん,TV,72,"Apr 1, 1974 to Sep 29, 1975",Spring 1974,Unknown,Unknown,Toei Animation,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,5142.0,8417,2384,9,133,757,139,175,1180,29.0,30.0,90.0,175.0,133.0,74.0,22.0,7.0,7.0,8.0
14219,37379,Chihayafuru 3,8.52,"Game, Slice of Life, Sports, Drama, School, Josei",Unknown,ちはやふる 3,TV,24,"Oct 23, 2019 to Mar 25, 2020",Fall 2019,"Kodansha, Nippon Television Network, TC Entertainment, Nippon Television Music, FBC",Sentai Filmworks,Madhouse,Manga,22 min. per ep.,PG-13 - Teens 13 or older,96.0,1548,88901,1186,9826,40652,2335,1143,34945,7388.0,12177.0,10316.0,4176.0,1256.0,414.0,128.0,105.0,28.0,236.0
5724,9340,Cheburashka,7.04,Comedy,Unknown,チェブラーシカ,Movie,1,"Dec 18, 2010",Unknown,Unknown,Unknown,Unknown,Book,1 hr. 20 min.,G - All Ages,3476.0,10208,1111,5,22,639,15,56,379,97.0,42.0,65.0,110.0,45.0,41.0,5.0,6.0,2.0,8.0
4868,7021,Ni-hiki no Sanma,5.0,Comedy,Unknown,二匹のサンマ,Movie,1,1961,Unknown,Kuri Jikken Manga Kobo,Unknown,Unknown,Original,22 min.,G - All Ages,10601.0,11572,628,0,11,466,8,34,109,9.0,5.0,13.0,34.0,48.0,96.0,57.0,41.0,28.0,24.0
15295,39028,Komatsu Sakyo Anime Gekijou Specials,Unknown,"Comedy, Parody, Sci-Fi, Space",Unknown,小松左京アニメ劇場 特別編,Special,3,"Mar 23, 1990 to Jun 22, 1990",Unknown,Unknown,Unknown,Unknown,Original,5 min. per ep.,G - All Ages,15113.0,16887,90,0,3,33,2,15,37,5.0,Unknown,1.0,1.0,2.0,6.0,1.0,3.0,Unknown,4.0
14067,37136,Shounen,Unknown,Music,Unknown,少年,Music,1,"Apr 8, 2015",Unknown,Felicity,Unknown,Unknown,Music,4 min.,PG-13 - Teens 13 or older,12057.0,17082,78,0,1,58,0,4,15,3.0,Unknown,1.0,3.0,9.0,7.0,4.0,8.0,1.0,4.0
7308,15731,Tamayura: More Aggressive,7.55,"Comedy, Drama, Slice of Life",Unknown,たまゆら ～もあぐれっしぶ～,TV,12,"Jul 3, 2013 to Sep 18, 2013",Summer 2013,RAY,Unknown,TYO Animations,Original,24 min. per ep.,G - All Ages,1416.0,3966,16863,57,868,7720,621,565,7089,587.0,1011.0,1768.0,1650.0,728.0,320.0,118.0,34.0,10.0,18.0
16859,42149,Qiang Shen Ji: Tegong Shijie Pian,Unknown,"Action, Sci-Fi",Unknown,枪神记 特工世界篇,ONA,12,"Jun 15, 2018 to Aug 31, 2018",Unknown,Unknown,Unknown,Unknown,Game,21 min. per ep.,PG-13 - Teens 13 or older,11662.0,14938,198,0,17,67,7,18,89,2.0,4.0,7.0,14.0,8.0,4.0,2.0,Unknown,1.0,3.0
10918,31362,Osiris no Tenbin,Unknown,"Drama, Supernatural, Thriller",Unknown,オシリスの天秤,ONA,10,"Aug 1, 2015 to Sep 23, 2015",Unknown,Fuji TV,Unknown,Unknown,Original,6 min. per ep.,R - 17+ (violence & profanity),11424.0,8792,2040,8,84,170,47,63,1676,9.0,5.0,9.0,12.0,26.0,20.0,13.0,3.0,5.0,10.0
16541,41174,Watashi no Tenshi,6.6,Music,My Angel,ワタシノテンシ feat.成海聖奈（CV:雨宮天）,Music,1,"Dec 21, 2019",Unknown,Unknown,Unknown,Unknown,Original,4 min.,G - All Ages,5368.0,13166,335,5,8,258,2,4,63,26.0,13.0,27.0,50.0,31.0,19.0,5.0,6.0,1.0,3.0
6984,13463,Panda no Taputapu,Unknown,Kids,Unknown,パンダのたぷたぷ,TV,431,"Apr 2, 2012 to Nov 29, 2013",Spring 2012,Unknown,Unknown,Kachidoki Studio,Original,30 sec. per ep.,G - All Ages,11472.0,13713,279,0,43,27,13,76,120,4.0,Unknown,2.0,5.0,6.0,8.0,2.0,4.0,1.0,7.0
2153,2353,Daiakuji: The Xena Buster Specials,6.62,Hentai,Unknown,大悪司,Special,2,"Aug 28, 2003 to May 27, 2005",Unknown,Unknown,Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,7637,3214,5,151,2115,119,112,717,136.0,116.0,230.0,326.0,279.0,159.0,89.0,44.0,24.0,33.0
16470,40994,Ni Zai Xing Guang Shen Chu,Unknown,"Sci-Fi, Mystery",Stars Fall,你在星光深处,ONA,12,"Dec 15, 2019 to Feb 23, 2020",Unknown,bilibili,Unknown,Unknown,Novel,19 min. per ep.,PG-13 - Teens 13 or older,11123.0,12602,417,4,48,85,14,29,241,7.0,6.0,17.0,15.0,11.0,8.0,3.0,1.0,Unknown,4.0
3492,4091,Kagami no Genon,5.92,Slice of Life,sound / phantasma / mirror,かがみのげんおん,Movie,1,"Oct 17, 2004",Unknown,Kojiro Shishido Animation Works,Unknown,Unknown,Unknown,6 min.,G - All Ages,8478.0,8433,2371,2,31,1693,19,30,598,27.0,38.0,116.0,276.0,325.0,239.0,127.0,40.0,33.0,25.0
14581,37941,Naengjang-go Nala Cocomong,Unknown,Kids,Cocomong,냉장고 나라 코코몽,TV,26,"Mar 5, 2008 to Aug 27, 2008",Spring 2008,Unknown,Unknown,Unknown,Original,12 min. per ep.,G - All Ages,15732.0,16903,91,0,3,36,2,30,20,3.0,Unknown,Unknown,2.0,2.0,5.0,1.0,9.0,3.0,7.0
9927,29067,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,7.39,"Comedy, Romance, Seinen, Slice of Life",I Can't Understand What My Husband Is Saying:2nd Thread,旦那が何を言っているかわからない件2スレ目,TV,13,"Apr 3, 2015 to Jun 26, 2015",Spring 2015,"DAX Production, Dream Creation",Unknown,Seven,4-koma manga,3 min. per ep.,PG-13 - Teens 13 or older,1923.0,939,157773,172,5020,129129,2155,1343,20126,5651.0,11381.0,27538.0,32866.0,13155.0,5103.0,1067.0,369.0,151.0,104.0
5318,8292,Seitokaichou Hikaru,6.29,Hentai,Unknown,聖徒会長ヒカル,OVA,1,"Apr 23, 2010",Unknown,"Studio Eromatick, Mary Jane",Unknown,Unknown,Visual novel,31 min.,Rx - Hentai,Unknown,6655,4666,14,384,2479,235,184,1384,131.0,106.0,197.0,352.0,329.0,256.0,102.0,66.0,51.0,41.0
15800,39783,5-toubun no Hanayome ∬,8.05,"Harem, Comedy, Romance, School, Shounen",The Quintessential Quintuplets 2,五等分の花嫁∬,TV,12,"Jan 8, 2021 to ?",Winter 2021,"Pony Canyon, Kodansha, DAX Production, BS11, Nichion, GYAO!, Good Smile Film, MAGNET",Unknown,Bibury Animation Studios,Manga,24 min. per ep.,PG-13 - Teens 13 or older,474.0,595,245999,4100,135081,110,2490,1394,106924,8080.0,9454.0,16009.0,9786.0,2809.0,915.0,305.0,118.0,65.0,187.0
16918,42282,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,Unknown,"Comedy, Drama, Romance, Fantasy, School",Unknown,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…X,TV,Unknown,"Jul, 2021 to ?",Summer 2021,Unknown,Unknown,Unknown,Light novel,Unknown,PG-13 - Teens 13 or older,Unknown,2393,45612,91,1,0,1,0,45610,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
831,916,Tokkou,6.58,"Action, Mystery, Comedy, Horror, Police, Supernatural, Seinen",Tokko,TOKKÔ[特公],TV,13,"Apr 16, 2006 to Jul 30, 2006",Spring 2006,"WOWOW, Shochiku",Manga Entertainment,"AIC Spirits, Group TAC",Manga,24 min. per ep.,R - 17+ (violence & profanity),5474.0,2538,40071,119,1347,24789,1151,1718,11066,869.0,1608.0,3244.0,5334.0,3998.0,2365.0,1295.0,587.0,297.0,201.0
8643,22295,Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya,5.81,"Historical, Romance, Fantasy, Josei",Unknown,十三支演義～偃月三国伝～ 外伝 幽州幻夜,OVA,1,"Nov 28, 2014",Unknown,"Anpro, teamKG",Unknown,Unknown,Visual novel,25 min.,PG-13 - Teens 13 or older,8798.0,7100,3972,9,128,1727,66,66,1985,54.0,40.0,94.0,186.0,291.0,234.0,130.0,52.0,34.0,26.0
314,338,Versailles no Bara,8.33,"Military, Historical, Drama, Romance, Shoujo",The Rose of Versailles,ベルサイユのばら,TV,40,"Oct 10, 1979 to Sep 3, 1980",Fall 1979,Nippon Television Network,"Nozomi Entertainment, Discotek Media",Tokyo Movie Shinsha,Manga,24 min. per ep.,PG-13 - Teens 13 or older,206.0,1832,68422,2375,4264,25057,3813,2311,32977,5620.0,5081.0,5459.0,3342.0,1418.0,645.0,298.0,124.0,72.0,138.0
11691,33069,Dimension W: Short Track/Robot wa Sentou no Yume wo Miruka,6.65,"Sci-Fi, Seinen",Dimension W:Do Robots Dream of Bathhouses?,ディメンション ダブリュー「SHORT TRACK／ロボットは銭湯の夢を見るか」,Special,1,"Aug 26, 2016",Unknown,"Bandai Visual, Square Enix, Lantis, Orange, Good Smile Company, Q-Tec",Funimation,Studio 3Hz,Manga,11 min.,R - 17+ (violence & profanity),5138.0,4070,15729,8,293,10334,155,114,4833,285.0,348.0,937.0,2167.0,1839.0,809.0,228.0,79.0,33.0,35.0
5106,7661,Giant Killing,7.58,"Sports, Drama, Seinen",Giant Killing,ジャイアントキリング,TV,26,"Apr 4, 2010 to Sep 26, 2010",Spring 2010,NHK,Unknown,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1330.0,2047,58297,339,3470,34927,2902,3108,13890,2139.0,4866.0,9391.0,8446.0,3441.0,1287.0,429.0,161.0,72.0,63.0
10285,30012,Tekusuke Monogatari,5.49,Historical,Unknown,テク助物語,Movie,1,1938,Unknown,The National Film Center Japan,Unknown,Unknown,Unknown,9 min.,G - All Ages,9707.0,13742,278,0,9,182,3,39,45,6.0,2.0,4.0,7.0,18.0,28.0,20.0,7.0,18.0,12.0
3605,4364,Kunoichi Bakumatsu Kitan,5.93,Hentai,The Last Kunoichi,くノ一幕末奇譚,OVA,2,"Dec 25, 2003 to May 25, 2004",Unknown,Milky Animation Label,Unknown,Unknown,Original,30 min. per ep.,Rx - Hentai,Unknown,8518,2269,4,208,983,115,117,846,36.0,26.0,57.0,152.0,141.0,115.0,55.0,36.0,21.0,21.0
685,750,Binchou-tan,6.92,"Slice of Life, Comedy",Unknown,びんちょうタン,TV,12,"Feb 2, 2006 to Apr 15, 2006",Winter 2006,"Bandai Visual, Frontier Works, TBS, Alchemist",Unknown,Studio Deen,Manga,12 min. per ep.,G - All Ages,3937.0,5023,9440,60,368,4522,410,639,3501,278.0,319.0,739.0,982.0,737.0,454.0,143.0,84.0,53.0,33.0
12843,35120,Devilman: Crybaby,7.84,"Action, Dementia, Demons, Horror, Supernatural",Devilman:Crybaby,DEVILMAN crybaby,ONA,10,"Jan 5, 2018",Unknown,"Aniplex, Dynamic Planning, Netflix",Unknown,Science SARU,Manga,25 min. per ep.,R+ - Mild Nudity,751.0,153,650309,14561,29665,477257,13336,18054,111997,59124.0,90144.0,109879.0,73102.0,32020.0,14397.0,9140.0,4183.0,2944.0,3329.0
14608,37975,Piano no Mori (TV) 2nd Season,7.4,"Comedy, Drama, Music, School, Seinen",Unknown,ピアノの森 第2シリーズ,TV,12,"Jan 28, 2019 to Apr 15, 2019",Winter 2019,NHK,Unknown,Gaina,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1911.0,2843,32498,72,2030,17520,926,936,11086,1146.0,1678.0,3678.0,4076.0,1791.0,790.0,291.0,123.0,50.0,32.0
1304,1435,Lupin III: Lupin vs. Fukusei-ningen,6.99,"Action, Adventure, Mystery, Comedy, Seinen",Lupin III:The Secret of Mamo,ルパンvs複製人間,Movie,1,"Dec 16, 1978",Unknown,Unknown,"Discotek Media, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,1 hr. 42 min.,R+ - Mild Nudity,3672.0,4950,9806,23,165,6761,107,94,2679,247.0,437.0,1111.0,1688.0,920.0,374.0,148.0,57.0,31.0,26.0
14721,38096,Ensemble Girls!!,5.81,Music,Ensemble Girls!!,あんさんぶるガールズ！！,ONA,1,"Jun 19, 2016",Unknown,Unknown,Unknown,Unknown,Unknown,1 min.,G - All Ages,8795.0,12256,475,0,15,252,3,18,187,8.0,3.0,7.0,21.0,47.0,50.0,11.0,8.0,3.0,10.0
5701,9309,Kansen 3: Shuto Houkai,6.43,Hentai,Unknown,姦染3,OVA,2,"Sep 24, 2010 to Dec 24, 2010",Unknown,Suzuki Mirano,Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,6455,5025,12,437,2668,252,188,1480,137.0,115.0,217.0,404.0,392.0,228.0,104.0,50.0,31.0,34.0
9643,27815,Cardfight!! Vanguard G,6.52,"Action, Game, Shounen",Cardfight!! Vanguard G,カードファイト!! ヴァンガードG,TV,48,"Oct 26, 2014 to Oct 4, 2015",Fall 2014,"TV Tokyo, Dentsu, Sotsu, Bushiroad",Unknown,TMS Entertainment,Card game,24 min. per ep.,PG-13 - Teens 13 or older,5771.0,4615,11747,36,867,7147,502,918,2313,310.0,329.0,742.0,1577.0,1341.0,795.0,322.0,142.0,101.0,67.0
12953,35277,Nanumu no Ie,Unknown,"Drama, Historical",Unknown,ナヌムの家,Movie,1,1995,Unknown,Unknown,Unknown,Unknown,Other,1 hr. 36 min.,PG - Children,11052.0,16805,98,0,6,25,1,29,37,5.0,Unknown,3.0,1.0,1.0,1.0,Unknown,Unknown,3.0,4.0
5608,9006,Rei Zero,6.18,Hentai,Unknown,レイZERO,OVA,2,"Jun 26, 2010 to Apr 1, 2011",Unknown,"Pixy, Anime Antenna Iinkai",Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,7387,3604,13,303,1652,174,161,1314,92.0,64.0,134.0,224.0,242.0,202.0,84.0,43.0,28.0,32.0
14886,38398,Din Dong Specials,Unknown,"Comedy, Parody",Unknown,癲噹,ONA,5,"Feb 24, 2010 to Nov 21, 2011",Unknown,Unknown,Unknown,Unknown,Manga,38 sec. per ep.,G - All Ages,13807.0,16806,98,0,2,47,3,17,29,5.0,Unknown,1.0,2.0,8.0,8.0,2.0,2.0,3.0,5.0
8795,22893,Mon Cheri CoCo,Unknown,"Romance, Shoujo",Unknown,モンシェリCOCO,TV,13,"Aug 27, 1972 to Nov 26, 1972",Summer 1972,TBS,Unknown,Unknown,Manga,25 min. per ep.,G - All Ages,15640.0,11931,549,0,35,88,15,64,347,8.0,1.0,2.0,8.0,14.0,5.0,1.0,Unknown,1.0,3.0
5191,7914,Kyuukyoku no Chef wa Oishinbo Papa,5.24,Hentai,Unknown,究極のシェフは美味しんぼパパ,OVA,1,"Dec 1, 1990",Unknown,Unknown,Unknown,Unknown,Unknown,40 min.,Rx - Hentai,Unknown,11615,618,2,46,214,30,69,259,10.0,4.0,5.0,11.0,19.0,33.0,27.0,13.0,13.0,15.0
12000,33671,Feng Shu Zhan Jing,Unknown,"Action, Adventure, Mecha",The Configurators,Unknown,TV,26,"Dec 22, 2010 to 2011",Unknown,Unknown,Unknown,Unknown,Original,22 min. per ep.,G - All Ages,13945.0,15291,176,1,17,49,5,33,72,5.0,5.0,2.0,3.0,1.0,7.0,1.0,2.0,1.0,5.0
10320,30065,Osamishi Tani no Wakare Uta,5.36,"Music, Historical",Unknown,お淋し谷の別れ唄,Movie,1,1971,Unknown,Unknown,Unknown,Unknown,Original,3 min.,G - All Ages,10019.0,14346,234,0,6,150,3,27,48,8.0,Unknown,8.0,5.0,13.0,18.0,21.0,13.0,8.0,9.0
15348,39107,Tottoko Hamtarou: Hiragana Tanken,Unknown,Kids,Unknown,とっとこハム太郎ひらがなたんけん,OVA,1,"Jul 20, 2005",Unknown,Unknown,Unknown,Unknown,Manga,35 min.,G - All Ages,12582.0,13245,322,0,14,118,7,21,162,6.0,3.0,4.0,13.0,21.0,11.0,5.0,2.0,1.0,3.0
3611,4379,Inmu: Ikenie no Utage,5.65,"Hentai, Demons",Inmu:Feast of Victims,淫夢~生贄の宴~,OVA,2,"Jan 21, 2000 to Apr 28, 2000",Unknown,NuTech Digital,Unknown,Unknown,Original,30 min. per ep.,Rx - Hentai,Unknown,9160,1754,4,150,848,79,99,578,29.0,18.0,44.0,98.0,114.0,113.0,61.0,40.0,17.0,29.0
9561,27363,Yakata: Kannou Kitan,6.77,Hentai,Unknown,館 ～官能奇譚～,OVA,2,"Nov 28, 2014 to Feb 27, 2015",Unknown,Unknown,Unknown,PoRO,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,6138,5727,25,766,2887,332,247,1495,201.0,171.0,360.0,508.0,408.0,208.0,91.0,50.0,34.0,28.0
14729,38107,Maken no Hime wa Ero Ero Desu,6.28,"Hentai, Fantasy",Unknown,魔剣の姫はエロエロです,OVA,4,"Oct 26, 2018 to Sep 27, 2019",Unknown,PoRO,Unknown,Unknown,Light novel,23 min. per ep.,Rx - Hentai,Unknown,8050,2747,6,1056,294,337,161,899,58.0,42.0,91.0,182.0,177.0,102.0,54.0,31.0,15.0,13.0
9489,26219,Tabidachi no Hi ni,Unknown,"Drama, Kids",Unknown,旅立ちの日に,OVA,1,2004,Unknown,Unknown,Unknown,Unknown,Unknown,40 min.,G - All Ages,12324.0,16388,120,0,6,28,2,42,42,4.0,Unknown,2.0,6.0,1.0,1.0,Unknown,Unknown,1.0,Unknown
3984,5150,Hatsukoi Limited.,7.32,"Comedy, Romance, School, Shounen",Hatsukoi Limited,初恋限定。,TV,12,"Apr 12, 2009 to Jun 28, 2009",Spring 2009,Shueisha,Sentai Filmworks,J.C.Staff,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2243.0,1632,82196,206,3879,44548,2539,2978,28252,2148.0,4509.0,9658.0,10758.0,5256.0,2320.0,740.0,293.0,152.0,115.0
9780,28427,Isobe Isobee Monogatari: Ukiyo wa Tsurai yo,Unknown,"Comedy, Historical",Unknown,磯部磯兵衛物語 〜浮世はつらいよ〜,ONA,5,"Dec 19, 2013 to Apr 3, 2014",Unknown,Unknown,Unknown,Unknown,Manga,3 min. per ep.,G - All Ages,14636.0,13329,316,0,26,82,13,30,165,4.0,1.0,2.0,7.0,7.0,12.0,4.0,6.0,2.0,6.0
13445,36127,Animation de Tsutaeru: Hibakusha kara no Tegami,Unknown,"Historical, Drama",Unknown,アニメーションで伝える“ヒバクシャからの手紙”,Special,Unknown,"Aug 4, 2017 to ?",Unknown,NHK,Unknown,Unknown,Other,5 min.,G - All Ages,13289.0,14139,253,0,67,0,30,49,107,4.0,1.0,5.0,10.0,17.0,8.0,1.0,1.0,Unknown,4.0
6243,10507,Inazuma Eleven Go,6.98,"Shounen, Sports, Super Power",Unknown,イナズマイレブン Go,TV,47,"May 4, 2011 to Apr 11, 2012",Spring 2011,"TV Tokyo, Dentsu, Half H.P Studio, TV Tokyo Music, Studio Jack",Unknown,OLM,Game,24 min. per ep.,G - All Ages,3702.0,2143,54307,307,1993,43784,1194,2095,5241,2544.0,2965.0,6331.0,10054.0,6575.0,3146.0,1159.0,487.0,217.0,188.0
7890,18455,M Ogui: Last Order,6.42,Hentai,Unknown,M男食い ラストオーダー,OVA,1,"Jun 21, 2013",Unknown,"MS Pictures, BOOTLEG",Unknown,Unknown,Manga,16 min.,Rx - Hentai,Unknown,6255,5425,15,384,3769,204,172,896,185.0,184.0,335.0,599.0,583.0,369.0,153.0,80.0,68.0,41.0
13847,36761,Osomatsu-san Short Film Series 2nd Season,6.02,"Comedy, Parody",Unknown,おそ松さん ショートフィルムシリーズ 第2期,Special,4,"Jan 26, 2018 to Jul 27, 2018",Unknown,Avex Pictures,Unknown,Unknown,Manga,2 min. per ep.,PG-13 - Teens 13 or older,8177.0,8997,1897,4,78,306,40,68,1405,20.0,7.0,15.0,42.0,53.0,31.0,13.0,8.0,6.0,11.0
14845,38328,Azur Lane,6.28,"Action, Military, Sci-Fi",Unknown,アズールレーン,TV,12,"Oct 3, 2019 to Mar 20, 2020",Fall 2019,"Frontier Works, Sotsu, Toho, Nitroplus, i0+, Yostar Pictures, Stray Cats",Funimation,Bibury Animation Studios,Game,23 min. per ep.,PG-13 - Teens 13 or older,6973.0,1344,105637,770,15474,34075,5249,12870,37969,2313.0,1830.0,3845.0,8113.0,8333.0,5522.0,3319.0,1786.0,891.0,755.0
259,283,Akage no Anne,7.7,"Slice of Life, Historical, Drama",Anne of Green Gables,赤毛のアン,TV,50,"Jan 7, 1979 to Dec 30, 1979",Winter 1979,Unknown,Unknown,Nippon Animation,Novel,25 min. per ep.,G - All Ages,1012.0,3492,22024,506,1154,8181,1042,778,10869,1153.0,1117.0,1483.0,1466.0,864.0,399.0,135.0,46.0,43.0,39.0
16230,40560,Baby Maniacs feat. Hatsune Miku,5.63,Music,Unknown,Baby Maniacs feat. 初音ミク,Music,1,"Dec 21, 2011",Unknown,"Sony Music Entertainment, Toy's Factory",Unknown,Unknown,Original,3 min.,G - All Ages,9333.0,13294,322,1,4,260,1,9,48,9.0,5.0,10.0,20.0,38.0,33.0,26.0,13.0,7.0,7.0
987,1087,Kimagure Orange☆Road,7.55,"Comedy, Drama, Romance, School, Shounen, Slice of Life, Super Power",Unknown,きまぐれオレンジ☆ロード,TV,48,"Apr 6, 1987 to Mar 7, 1988",Spring 1987,Toho,"AnimEigo, Discotek Media",Studio Pierrot,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1434.0,2761,34405,492,2602,10978,2023,1590,17212,1138.0,1483.0,2611.0,2440.0,1241.0,592.0,257.0,88.0,53.0,47.0
377,401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,8.0,"Romance, Samurai, Historical, Drama, Shounen",Samurai X:Reflection,るろうに剣心 -明治剣客浪漫譚- 星霜編,OVA,2,"Dec 3, 2001",Unknown,SME Visual Works,"ADV Films, Aniplex of America",Studio Deen,Manga,42 min. per ep.,R - 17+ (violence & profanity),542.0,1795,71296,400,1029,55197,673,420,13977,8462.0,8795.0,10564.0,6832.0,2908.0,1387.0,807.0,299.0,248.0,235.0
2617,2841,Kuro Ai: Hitoyozumakan Inkou Rannyuuroku,6.72,Hentai,Dark Love,黒愛 一夜妻館・淫口乱乳録,OVA,2,"Apr 29, 2005 to Jun 24, 2005",Unknown,"Green Bunny, Shinkuukan","Media Blasters, Kitty Media",Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,4969,9690,102,655,6179,321,304,2231,461.0,456.0,709.0,954.0,671.0,446.0,236.0,138.0,97.0,105.0
3020,3420,Shigofumi,7.49,"Drama, Fantasy, Psychological, Supernatural, Thriller",Shigofumi:Letters from the Departed,シゴフミ,TV,12,"Jan 6, 2008 to Mar 23, 2008",Winter 2008,"Bandai Visual, Genco, Lantis, Rakuonsha",Sentai Filmworks,J.C.Staff,Original,24 min. per ep.,R - 17+ (violence & profanity),1594.0,1703,77715,344,3055,34366,2746,2376,35172,1894.0,4333.0,8527.0,7906.0,3552.0,1504.0,490.0,175.0,89.0,83.0
17037,42603,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,7.1,"Action, Shounen, Super Power",My Hero Academia:Make It! Do-or-Die Survival Training,僕のヒーローアカデミア 生き残れ！決死のサバイバル訓練,ONA,2,"Aug 16, 2020",Unknown,Unknown,Unknown,Bones,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3205.0,1603,83875,171,3280,54847,585,367,24796,3192.0,3329.0,7610.0,13118.0,6883.0,2765.0,826.0,304.0,148.0,123.0
6986,13469,Hyouka: Motsubeki Mono wa,7.37,"Mystery, School, Slice of Life",Unknown,氷菓 持つべきものは,OVA,1,"Jul 8, 2012",Unknown,Unknown,Funimation,Kyoto Animation,Light novel,25 min.,PG-13 - Teens 13 or older,2035.0,1080,136585,155,1379,116728,684,294,17500,5896.0,9407.0,22150.0,28325.0,11091.0,4318.0,1164.0,444.0,155.0,160.0
9191,24763,Robot Girls Z Specials,6.33,"Comedy, Mecha, Parody",Unknown,ロボットガールズＺ,Special,3,"Jun 13, 2014 to Aug 8, 2014",Unknown,"Nippon Columbia, LandQ studios",Unknown,Toei Animation,Unknown,9 min. per ep.,PG-13 - Teens 13 or older,6721.0,8140,2641,0,90,1395,58,44,1054,40.0,47.0,105.0,263.0,237.0,122.0,53.0,24.0,14.0,15.0
7734,17731,Ketsuekigata-kun!,6.59,Comedy,Unknown,血液型くん！,TV,12,"Apr 7, 2013 to Jun 23, 2013",Spring 2013,Earth Star Entertainment,Unknown,"feel., Assez Finaud Fabric",Web manga,2 min. per ep.,PG-13 - Teens 13 or older,5453.0,5000,9507,16,567,5473,539,704,2224,208.0,300.0,705.0,1244.0,962.0,658.0,186.0,113.0,63.0,53.0
16292,40672,Usagi no Mofy (TV 2016),Unknown,Kids,Unknown,うさぎのモフィ,TV,26,"Jan 18, 2016 to Mar 20, 2017",Winter 2016,Sony Creative Products,Unknown,Unknown,Picture book,5 min. per ep.,G - All Ages,12728.0,17285,59,0,3,14,2,18,22,1.0,1.0,Unknown,1.0,1.0,2.0,2.0,1.0,Unknown,2.0
1116,1224,Aquarian Age: Sign for Evolution,6.12,"Action, Sci-Fi, Adventure, Music, Super Power, Supernatural, Romance, Fantasy, Shounen",Aquarian Age:Sign for Evolution,アクエリアンエイジ Sign for Evolution,TV,13,"Jan 11, 2002 to Mar 29, 2002",Winter 2002,Broccoli,ADV Films,Madhouse,Card game,24 min. per ep.,PG-13 - Teens 13 or older,7679.0,4575,11838,17,462,5422,536,827,4591,104.0,197.0,454.0,945.0,1006.0,755.0,358.0,141.0,79.0,61.0
17104,42784,Shu Ling Ji,Unknown,Martial Arts,Unknown,书灵记,ONA,30,"Sep 10, 2019 to Dec 20, 2019",Unknown,Unknown,Unknown,Soyep,Other,10 min. per ep.,PG-13 - Teens 13 or older,12049.0,15375,171,1,46,30,10,17,68,5.0,1.0,1.0,11.0,10.0,3.0,1.0,Unknown,Unknown,1.0
4320,5821,Zenmai Zamurai,Unknown,"Comedy, Kids",Unknown,ぜんまいざむらい,TV,215,"Apr 3, 2006 to Feb 6, 2009",Spring 2006,Aniplex,Unknown,A-1 Pictures,Original,10 min. per ep.,G - All Ages,13076.0,12658,402,2,25,150,16,88,123,11.0,2.0,6.0,29.0,18.0,17.0,14.0,3.0,2.0,9.0
5571,8920,Inuki Kanako Zekkyou Collection: Gakkou ga Kowai!,5.76,Horror,Unknown,犬木加奈子絶叫コレクション 学校がこわい!,OVA,1,"Aug 6, 1999",Unknown,"Kadokawa Shoten, Toei Video",Unknown,Toei Animation,Unknown,40 min.,PG-13 - Teens 13 or older,8991.0,9984,1241,1,46,520,18,35,622,8.0,9.0,34.0,71.0,95.0,76.0,43.0,20.0,13.0,20.0
15677,39560,Donten,Unknown,Music,Unknown,曇天,Music,1,"Mar 13, 2019",Unknown,SME Records,Unknown,Unknown,Original,3 min.,PG-13 - Teens 13 or older,13822.0,16099,132,0,2,105,2,4,19,2.0,1.0,5.0,21.0,20.0,22.0,4.0,1.0,1.0,1.0
